2017-10-12 15:26:09,125 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2017-10-12 15:26:09,126 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 660000ms
2017-10-12 15:26:09,138 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@5edf2cd6{/help,null,AVAILABLE}
2017-10-12 15:26:09,143 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@c4dcc1dc{HTTP/1.1,[http/1.1]}{127.0.0.1:38453}
2017-10-12 15:26:09,144 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @6239738ms
2017-10-12 17:23:12,632 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@c4dcc1dc{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-10-12 17:23:12,632 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2017-10-12 17:23:12,637 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@5edf2cd6{/help,null,UNAVAILABLE}
2017-10-12 17:52:37,813 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-10-12 19:50:09,957 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @7064131ms to org.eclipse.jetty.util.log.Slf4jLog
2017-10-12 19:50:10,038 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2017-10-12 19:50:10,049 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2017-10-12 19:50:10,049 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2017-10-12 19:50:10,050 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 660000ms
2017-10-12 19:50:10,064 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@7e644e9{/help,null,AVAILABLE}
2017-10-12 19:50:10,070 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@2a1614ac{HTTP/1.1,[http/1.1]}{127.0.0.1:34782}
2017-10-12 19:50:10,071 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @7064245ms
2017-10-13 09:01:20,501 [Worker-7] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-10-13 09:02:34,040 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-10-13 09:05:04,353 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-10-13 09:08:37,684 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-10-13 09:42:20,230 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-10-13 09:43:17,523 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-10-13 10:30:52,554 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @2866787ms to org.eclipse.jetty.util.log.Slf4jLog
2017-10-13 10:30:52,628 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2017-10-13 10:30:52,639 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2017-10-13 10:30:52,668 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2017-10-13 10:30:52,670 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 600000ms
2017-10-13 10:30:52,699 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@-2ad04009{/help,null,AVAILABLE}
2017-10-13 10:30:52,707 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@97a5078a{HTTP/1.1,[http/1.1]}{127.0.0.1:34587}
2017-10-13 10:30:52,708 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @2866941ms
2017-10-13 17:11:40,713 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@97a5078a{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-10-13 17:11:40,713 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2017-10-13 17:11:40,717 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@-2ad04009{/help,null,UNAVAILABLE}
2017-10-16 08:52:51,018 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-10-16 13:40:39,517 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @17279733ms to org.eclipse.jetty.util.log.Slf4jLog
